URL,Response Code,News Error,Detected,Category,Platform,Last crawled
https://www.lehmans.com/product/kilner-square-clip-top-jars-16-oz,404,,7/5/16,Not found,Desktop,7/13/16
https://www.lehmans.com/t-vos.aspx?Args=&page_number=1&partner_id=bing&utm_source=bing&utm_medium=cpc&utm_campaign=Local+Ads+0713,404,,7/15/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-3237-oval-amp-sweetheart-wood-cookstove-owner-rsquo-s-manual.aspx,404,,7/18/16,Not found,Desktop,7/21/16
https://www.lehmans.com/C-240-brooms-dusters-and-mops.aspx?pagenum=2,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/showProduct.aspx?ProductID=4421&show=all,404,,6/29/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-2097-clear-oil-lamp-chimney-1-1-8-base.aspx,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-2259-steel-machete-with-leather-grip.aspx?show=all,404,,7/18/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-8317-urbin-grower-raised-bed.aspx?show=all,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/c-342-food.aspx?pageNum=1&view=grd,404,,7/19/16,Not found,Desktop,7/19/16
https://www.lehmans.com/mobileleave.aspx?returnurl=p-8141-cordless-window-candelabra.aspx,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/mobileleave.aspx?returnurl=p-2427-2x3-12-round-candle-mold.aspx,404,,7/18/16,Not found,Desktop,7/18/16
https://www.lehmans.com/product/foodsafe-firestarters,404,,7/8/16,Not found,Desktop,7/20/16
https://www.lehmans.com/product/napoleon-1900-steel-pedestal-wood-heat-stove?show=all,404,,7/6/16,Not found,Desktop,7/20/16
https://www.lehmans.com/product/vermont-castings-resolute-acclaim-wood-heat-stove?show=all,404,,7/6/16,Not found,Desktop,7/20/16
https://www.lehmans.com/product/pioneer-maid-wood-cookstove?show=all,404,,7/6/16,Not found,Desktop,7/21/16
https://www.lehmans.com/p-5310-dutch-blitz-game-expansion-pack.aspx,404,,7/3/16,Not found,Desktop,7/21/16
https://www.lehmans.com/mobileleave.aspx?returnurl=p-7911-beessential-hand-and-body-cream.aspx,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/product/4534/home-decor,404,,7/11/16,Not found,Desktop,7/11/16
https://www.lehmans.com/product/fruit-picker,404,,7/8/16,Not found,Desktop,7/19/16
https://www.lehmans.com/product/met-all-brass-and-copper-polish/cleaners-polishes,404,,7/5/16,Not found,Desktop,7/18/16
https://www.lehmans.com/C-72-making-butter.aspx?view=grd,404,,7/15/16,Not found,Desktop,7/18/16
https://www.lehmans.com/C-328-laundry.aspx?pageNum=2,404,,7/7/16,Not found,Desktop,7/7/16
https://www.lehmans.com/c-510-happy-leap-day-29-for-29.aspx?pageNum=5,404,,7/7/16,Not found,Desktop,7/7/16
https://www.lehmans.com/C-296-seeds.aspx?pageNum=2,404,,7/7/16,Not found,Desktop,7/7/16
https://www.lehmans.com/p-8297-salad-cutter.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-8815-cast-iron-skillet-clock.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/C-104-kitchen-knives.aspx?pageNum=2,404,,7/7/16,Not found,Desktop,7/7/16
https://www.lehmans.com/C-486-suppertime.aspx?pageNum=2,404,,7/7/16,Not found,Desktop,7/7/16
https://www.lehmans.com/C-53-teas.aspx?pageNum=2,404,,7/7/16,Not found,Desktop,7/7/16
https://www.lehmans.com/C-270-balms-creams-and-lotions.aspx?pageNum=2,404,,7/7/16,Not found,Desktop,7/7/16
https://www.lehmans.com/p-5312-specially-shaped-jigsaw-puzzle-autumn-leaf.aspx?show=all,404,,7/5/16,Not found,Desktop,7/9/16
https://www.lehmans.com/C-62-jars-and-lids.aspx?pageNum=2,404,,7/7/16,Not found,Desktop,7/7/16
https://www.lehmans.com/C-63-canners-and-cookers.aspx?pageNum=2,404,,7/7/16,Not found,Desktop,7/7/16
https://www.lehmans.com/C-58-coffee.aspx?pageNum=2,404,,7/7/16,Not found,Desktop,7/7/16
https://www.lehmans.com/C-485-breakfast.aspx?pageNum=2,404,,7/7/16,Not found,Desktop,7/7/16
https://www.lehmans.com/C-170-cookbooks.aspx?pageNum=2,404,,7/7/16,Not found,Desktop,7/7/16
https://www.lehmans.com/C-498-pet-supplies.aspx?pageNum=2,404,,7/7/16,Not found,Desktop,7/7/16
https://www.lehmans.com/p-5306-bilbo-baggins-breakfast-blend-tea.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-3122-american-style-scythe-wooden-snath-handle.aspx?pageNum=1,404,,7/3/16,Not found,Desktop,7/3/16
https://www.lehmans.com/p-469-olde-tin-cup-oil-lamp.aspx?pageNum=1,404,,7/4/16,Not found,Desktop,7/4/16
https://www.lehmans.com/p-296-filter-disks-for-large-milk-strainer.aspx?pageNum=1,404,,7/2/16,Not found,Desktop,7/2/16
